Taylor Swift,Red (Taylor’s Version),Republic,2021,Olivia Horn ,2021-11-15 05:00:00 +0000,8.5
Snail Mail,Valentine,Matador,2021,Olivia Horn ,2021-11-04 04:00:00 +0000,8.5
aya,im hole,Hyperdub,2021,Philip Sherburne,2021-11-01 04:00:00 +0000,8.2
The War on Drugs,I Don’t Live Here Anymore,Atlantic,2021,Jeremy D. Larson,2021-10-29 04:00:00 +0000,8.4
Grouper,Shade,Kranky,2021,Daniel Bromfield,2021-10-26 04:00:00 +0000,8.2
Xenia Rubinos,Una Rosa,Anti-,2021,Stefanie Fernández,2021-10-23 04:00:00 +0000,8.4
Wiki,Half God,Wikset Enterprise,2021,Matthew Ismael Ruiz,2021-10-05 04:00:00 +0000,8.5
Tirzah,Colourgrade,Domino,2021,Gio Santiago,2021-10-01 04:00:00 +0000,8.5
Nala Sinephro,Space 1.8,Warp,2021,Philip Sherburne,2021-09-16 04:00:00 +0000,8.3
Low,Hey What,Sub Pop,2021,Andy Cush,2021-09-10 04:00:00 +0000,8.4
Indigo De Souza,Any Shape You Take,Saddle Creek,2021,Cat Zhang,2021-09-02 04:00:00 +0000,8.3
Turnstile,Glow On,Roadrunner,2021,Ian Cohen,2021-08-27 04:00:00 +0000,8.4
